strategy,folds,positive_folds,avg_test_return_pct,avg_benchmark_return_pct,avg_edge_pct,worst_drawdown_pct,avg_sharpe,total_trades,avg_score
mean-reversion-30-t8,6,2,6.4984,10.7825,-4.2841,-23.0313,0.3510,99,-1.8762
momentum-15-t4,6,2,6.4088,10.7825,-4.3737,-28.3377,0.3962,145,-2.2691
momentum-120-t6,6,2,6.6491,10.7825,-4.1334,-32.4599,0.3800,57,-2.2721
ensemble-20-50-c60,6,2,6.1709,10.7825,-4.6116,-26.4593,0.4357,146,-2.4323
ensemble-15-45-c70,6,2,6.4702,10.7825,-4.3123,-31.0839,0.4866,92,-2.4737
ma-15-45,6,2,5.1334,10.7825,-5.6492,-27.7779,0.4327,68,-2.5446
ma-5-20,6,2,6.4206,10.7825,-4.3619,-29.7433,0.4679,151,-3.3053
momentum-10-t6,6,2,5.9894,10.7825,-4.7931,-29.0458,0.4041,125,-3.4271
ensemble-3-10-c70,6,2,6.7465,10.7825,-4.0360,-31.7221,0.5165,173,-3.4761
mean-reversion-40-t8,6,2,5.0946,10.7825,-5.6879,-23.0313,0.2950,96,-3.4919
mean-reversion-60-t6,6,2,4.7382,10.7825,-6.0443,-22.7620,0.2455,104,-3.6852
ensemble-30-90-c60,6,2,6.4387,10.7825,-4.3438,-30.5701,0.3356,103,-3.9167
mean-reversion-90-t6,6,2,4.9621,10.7825,-5.8204,-25.1589,0.1977,98,-4.1422
ensemble-30-90-c65,6,2,6.0469,10.7825,-4.7356,-30.5701,0.2978,83,-4.2260
mean-reversion-20-t8,6,2,4.2273,10.7825,-6.5553,-19.0092,0.1680,103,-4.2988
momentum-30-t6,6,2,5.3668,10.7825,-5.4158,-28.4381,0.3424,96,-4.3876
ensemble-30-90-c70,6,2,5.4594,10.7825,-5.3232,-30.5701,0.2813,73,-5.2222
ensemble-3-10-c65,6,2,4.0296,10.7825,-6.7529,-25.0978,0.2940,318,-5.2310
mean-reversion-60-t4,6,2,3.7128,10.7825,-7.0698,-23.7512,0.1919,127,-5.3486
mean-reversion-90-t8,6,2,3.4987,10.7825,-7.2838,-22.7620,0.1047,85,-5.5555
ensemble-15-45-c60,6,2,4.8863,10.7825,-5.8962,-41.9788,0.4096,157,-6.0203
momentum-120-t8,6,2,2.1078,10.7825,-8.6747,-32.4599,0.2259,48,-7.3518
mean-reversion-60-t8,6,2,0.7581,10.7825,-10.0245,-23.2890,0.0960,90,-8.2801
ensemble-15-45-c65,6,2,2.5993,10.7825,-8.1833,-45.5704,0.3684,143,-8.7040
ma-3-10,6,2,1.6610,10.7825,-9.1215,-25.9816,0.2001,298,-8.9784
mean-reversion-20-t4,6,1,8.4781,10.7825,-2.3044,-24.1609,0.5315,180,-0.6734
mean-reversion-40-t4,6,1,7.1184,10.7825,-3.6641,-22.3570,0.3804,143,-1.2875
momentum-15-t3,6,1,5.3894,10.7825,-5.3931,-18.7427,0.2142,183,-3.3142
ma-30-90,6,1,4.2226,10.7825,-6.5600,-19.5904,-0.1744,43,-3.3465
mean-reversion-30-t4,6,1,6.0892,10.7825,-4.6933,-24.5799,0.2826,165,-3.7612
momentum-120-t4,6,1,4.9935,10.7825,-5.7890,-32.4599,0.3444,62,-4.0705
momentum-120-t3,6,1,4.7951,10.7825,-5.9874,-32.4599,0.3294,62,-4.3899
ensemble-5-15-c60,6,1,3.9407,10.7825,-6.8419,-21.2348,0.2304,290,-5.7697
mean-reversion-15-t6,6,1,2.8175,10.7825,-7.9650,-22.5040,0.1281,120,-6.2964
mean-reversion-40-t6,6,1,2.0335,10.7825,-8.7490,-22.5040,0.1050,108,-7.1788
mean-reversion-20-t6,6,1,2.0651,10.7825,-8.7174,-22.5040,0.0898,117,-7.7760
mean-reversion-30-t6,6,1,1.1137,10.7825,-9.6689,-22.5040,0.0707,114,-8.9963
mean-reversion-90-t10,6,1,-0.1500,10.7825,-10.9325,-23.4155,0.0060,75,-9.4635
ensemble-3-10-c60,6,1,-0.4688,10.7825,-11.2514,-30.0329,0.0392,396,-11.5680
