strategy,folds,positive_folds,avg_test_return_pct,avg_benchmark_return_pct,avg_edge_pct,worst_drawdown_pct,avg_sharpe,total_trades,avg_score
momentum-10-t8,6,5,14.5152,10.7825,3.7327,-27.0091,0.8201,97,7.0791
ensemble-10-30-c65,6,5,10.3277,10.7825,-0.4548,-23.4414,0.6231,158,2.4003
momentum-20-t4,6,4,16.6823,10.7825,5.8998,-17.9416,0.7465,140,10.4172
ensemble-5-20-c70,6,4,17.3162,10.7825,6.5337,-25.5744,0.7404,138,10.0924
ensemble-8-21-c65,6,4,16.3561,10.7825,5.5736,-16.5610,0.6774,195,9.6975
momentum-40-t6,6,4,15.3573,10.7825,4.5748,-15.4107,0.7297,81,8.6566
momentum-40-t4,6,4,15.4283,10.7825,4.6458,-16.8076,0.6842,99,8.3095
momentum-15-t8,6,4,14.6329,10.7825,3.8504,-18.1254,0.7901,93,8.1398
ensemble-5-20-c60,6,4,15.4963,10.7825,4.7137,-20.5711,0.6210,240,7.7513
ensemble-20-50-c65,6,4,12.7165,10.7825,1.9340,-14.1506,0.7496,136,6.3772
momentum-20-t3,6,4,12.8235,10.7825,2.0410,-19.8479,0.5560,163,5.4967
momentum-60-t3,6,4,12.0746,10.7825,1.2920,-30.8069,0.7071,71,4.6757
mean-reversion-30-t10,6,4,10.6693,10.7825,-0.1132,-16.8206,0.4914,86,4.4997
ensemble-8-21-c70,6,4,11.1286,10.7825,0.3460,-25.6571,0.5110,137,2.6752
ensemble-10-30-c60,6,4,9.5501,10.7825,-1.2324,-25.3019,0.5928,180,1.4307
momentum-30-t4,6,4,9.1361,10.7825,-1.6464,-22.8988,0.5097,121,0.8221
relative-strength-189-100-b60,6,4,7.5169,10.7825,-3.2656,-46.1001,0.6820,134,-1.5030
momentum-30-t3,6,4,7.3291,10.7825,-3.4534,-25.0346,0.4570,125,-1.6310
relative-strength-189-100-b50,6,4,6.2792,10.7825,-4.5033,-46.6832,0.5256,123,-3.7288
momentum-20-t6,6,3,16.8880,10.7825,6.1055,-16.1000,0.7909,111,10.7319
momentum-20-t8,6,3,13.8026,10.7825,3.0201,-16.1514,0.7247,93,7.5977
momentum-40-t8,6,3,13.9463,10.7825,3.1638,-15.4107,0.7771,73,7.1258
ma-20-50,6,3,12.3096,10.7825,1.5270,-14.1840,0.6694,57,6.5347
ensemble-5-20-c65,6,3,13.7238,10.7825,2.9413,-21.7740,0.5964,201,5.6072
ensemble-8-21-c60,6,3,13.1078,10.7825,2.3253,-17.1520,0.4983,241,5.3186
mean-reversion-40-t10,6,3,10.4286,10.7825,-0.3539,-19.2412,0.5238,88,4.4743
relative-strength-63-150-b60,6,3,10.6839,10.7825,-0.0986,-25.9018,0.7622,146,4.3006
relative-strength-63-100-b50,6,3,9.5260,10.7825,-1.2565,-25.3548,0.6827,131,3.1222
relative-strength-63-100-b60,6,3,9.0300,10.7825,-1.7525,-25.6507,0.7048,137,2.9697
mean-reversion-15-t8,6,3,9.2174,10.7825,-1.5651,-18.9835,0.3721,100,2.1369
momentum-60-t4,6,3,9.6764,10.7825,-1.1062,-30.8069,0.5955,66,2.1164
momentum-60-t8,6,3,9.4107,10.7825,-1.3718,-30.8069,0.6346,54,2.0602
momentum-90-t6,6,3,9.8421,10.7825,-0.9404,-30.5701,0.5184,45,1.1042
mean-reversion-15-t10,6,3,7.1918,10.7825,-3.5907,-18.3715,0.3488,61,1.0206
relative-strength-63-150-b50,6,3,8.0517,10.7825,-2.7308,-25.9018,0.5909,121,0.3611
relative-strength-189-150-b60,6,3,8.3465,10.7825,-2.4360,-30.4066,0.4789,119,-0.0487
momentum-10-t3,6,3,8.3759,10.7825,-2.4066,-27.4124,0.6327,171,-0.1850
ma-5-15,6,3,7.1055,10.7825,-3.6770,-25.9611,0.5438,206,-0.2852
mean-reversion-60-t10,6,3,6.0871,10.7825,-4.6954,-15.9672,0.2995,93,-0.3002
ensemble-5-15-c65,6,3,7.7690,10.7825,-3.0135,-16.2402,0.4129,257,-0.4618
mean-reversion-20-t10,6,3,6.4091,10.7825,-4.3734,-19.7691,0.2805,74,-0.6924
relative-strength-126-150-b60,6,3,6.8099,10.7825,-3.9726,-30.4066,0.4782,136,-0.8008
ensemble-20-50-c70,6,3,7.6419,10.7825,-3.1406,-31.4239,0.5623,102,-0.8858
relative-strength-189-150-b50,6,3,7.2095,10.7825,-3.5730,-30.4066,0.4405,98,-1.3580
ensemble-10-30-c70,6,3,7.3522,10.7825,-3.4304,-25.7587,0.4683,123,-1.4237
momentum-10-t4,6,3,7.5888,10.7825,-3.1937,-28.9426,0.5484,146,-1.4942
relative-strength-126-100-b50,6,3,6.0929,10.7825,-4.6896,-27.8554,0.3850,143,-1.7842
momentum-30-t8,6,3,6.4410,10.7825,-4.3415,-28.5854,0.3554,83,-2.0513
momentum-90-t4,6,3,6.4186,10.7825,-4.3639,-30.5701,0.3575,63,-3.1360
relative-strength-126-100-b60,6,3,5.2182,10.7825,-5.5643,-46.1001,0.5499,140,-3.4032
momentum-90-t3,6,3,6.1779,10.7825,-4.6046,-30.5701,0.3717,70,-3.7036
relative-strength-126-150-b50,6,3,3.3493,10.7825,-7.4333,-30.4066,0.2210,114,-6.0550
ma-10-30,6,2,13.0632,10.7825,2.2807,-15.9905,0.7997,115,8.0278
momentum-40-t3,6,2,11.2595,10.7825,0.4770,-23.1556,0.4801,97,2.8443
mean-reversion-15-t4,6,2,10.3106,10.7825,-0.4719,-17.8806,0.5366,209,2.6802
momentum-60-t6,6,2,9.7929,10.7825,-0.9897,-30.8069,0.6370,63,2.0555
momentum-90-t8,6,2,10.3288,10.7825,-0.4537,-30.5701,0.5499,49,1.4980
momentum-15-t6,6,2,8.6606,10.7825,-2.1219,-28.7715,0.4716,112,0.3568
mean-reversion-90-t4,6,2,7.4194,10.7825,-3.3631,-21.7598,0.4465,136,-0.3609
ma-8-21,6,2,6.4062,10.7825,-4.3763,-25.9775,0.3603,129,-1.2746
ensemble-5-15-c70,6,2,6.9074,10.7825,-3.8751,-22.0689,0.4064,176,-1.3691
