strategy,train_return_pct,test_return_pct,benchmark_return_pct,edge_pct,test_max_drawdown_pct,test_sharpe,test_trades,test_score
momentum-10-t4,0.3651,-6.8155,41.7035,-48.5191,-16.7743,-0.2802,40,-19.0792
mean-reversion-30-t6,-9.5200,-8.0915,41.7035,-49.7950,-16.4871,-0.3632,22,-19.9744
ensemble-5-15-c70,-0.1888,-6.5899,41.7035,-48.2934,-19.2237,-0.2332,34,-20.2316
mean-reversion-60-t4,-13.7431,-9.5197,41.7035,-51.2233,-16.0372,-0.4471,22,-21.2782
ma-5-20,4.7713,-9.2393,41.7035,-50.9428,-15.6298,-0.6060,34,-21.2906
mean-reversion-15-t6,-11.1939,-9.2026,41.7035,-50.9061,-16.3384,-0.4867,26,-21.3159
ensemble-3-10-c65,3.9816,-7.5303,41.7035,-49.2339,-18.4712,-0.2962,60,-21.3290
mean-reversion-30-t4,-6.1077,-8.0125,41.7035,-49.7160,-19.0081,-0.3402,36,-21.7681
momentum-40-t8,-2.0091,-10.6703,41.7035,-52.3739,-15.0844,-0.5167,16,-21.8287
momentum-40-t4,3.0545,-10.7181,41.7035,-52.4216,-15.0375,-0.5246,18,-21.9016
ensemble-8-21-c60,1.7490,-9.3568,41.7035,-51.0603,-16.7706,-0.4697,42,-22.0371
momentum-40-t6,0.3869,-10.9265,41.7035,-52.6300,-15.3279,-0.5040,16,-22.2176
momentum-30-t6,0.1181,-10.2850,41.7035,-51.9885,-16.0636,-0.6077,16,-22.2618
mean-reversion-30-t8,-5.2773,-10.8410,41.7035,-52.5445,-15.3222,-0.5814,18,-22.3232
momentum-30-t3,-1.9587,-10.9425,41.7035,-52.6460,-15.1000,-0.6750,22,-22.5476
mean-reversion-20-t10,-2.8309,-10.8632,41.7035,-52.5667,-15.8643,-0.5671,12,-22.5493
ma-5-15,-3.6233,-10.6328,41.7035,-52.3363,-15.1245,-0.6895,40,-22.6427
mean-reversion-40-t6,-10.4720,-10.4059,41.7035,-52.1094,-16.9579,-0.5002,26,-22.9489
mean-reversion-15-t10,-4.3270,-11.6909,41.7035,-53.3945,-15.0909,-0.6338,10,-22.9677
ensemble-8-21-c70,2.7104,-11.1339,41.7035,-52.8374,-15.4025,-0.6660,30,-23.0776
momentum-30-t4,-3.4371,-11.3683,41.7035,-53.0718,-15.5059,-0.6898,24,-23.3068
ma-8-21,-11.3899,-9.6967,41.7035,-51.4003,-18.9181,-0.5438,26,-23.6011
mean-reversion-30-t10,-8.0336,-11.9325,41.7035,-53.6360,-15.6521,-0.6702,12,-23.6868
ensemble-10-30-c65,-4.2463,-11.7240,41.7035,-53.4276,-15.5839,-0.6578,32,-23.8092
ensemble-10-30-c60,-3.4529,-11.7876,41.7035,-53.4912,-15.3229,-0.7161,32,-23.8197
ma-15-45,-4.2768,-12.5568,41.7035,-54.2603,-15.4258,-0.6752,16,-24.2540
momentum-120-t8,-13.9859,-10.1436,41.7035,-51.8472,-20.1943,-0.4093,12,-24.3286
ma-10-30,-9.0697,-12.4383,41.7035,-54.1418,-15.0229,-1.0261,22,-24.6954
momentum-10-t3,3.4424,-11.6786,41.7035,-53.3821,-17.0676,-0.5452,46,-24.7830
ensemble-8-21-c65,7.7609,-12.0316,41.7035,-53.7351,-16.6284,-0.6947,34,-24.9094
ma-20-50,-15.6366,-13.6333,41.7035,-55.3368,-15.7052,-0.8014,14,-25.7245
ensemble-10-30-c70,-4.0406,-13.2150,41.7035,-54.9185,-16.5996,-0.7653,24,-26.0154
mean-reversion-60-t10,-9.5230,-14.4154,41.7035,-56.1189,-15.2440,-0.8449,16,-26.3338
mean-reversion-90-t10,-13.6965,-13.4879,41.7035,-55.1914,-18.0226,-0.4529,22,-26.5484
mean-reversion-60-t8,-8.8607,-15.5232,41.7035,-57.2268,-16.0110,-0.8505,16,-27.9514
ma-3-10,0.6067,-15.1775,41.7035,-56.8810,-17.1197,-0.7980,58,-29.0613
mean-reversion-40-t10,-3.7673,-16.3290,41.7035,-58.0325,-16.8121,-0.9421,16,-29.4611
mean-reversion-90-t8,-16.0075,-17.3058,41.7035,-59.0094,-17.5491,-0.6754,20,-30.4636
mean-reversion-20-t8,-6.0292,-16.7119,41.7035,-58.4154,-18.7067,-0.8074,16,-30.8060
mean-reversion-90-t4,-15.7216,-16.9788,41.7035,-58.6823,-19.4721,-0.6102,24,-31.3361
mean-reversion-90-t6,-16.3706,-18.1358,41.7035,-59.8393,-18.3766,-0.7161,22,-31.9528
