strategy,train_return_pct,test_return_pct,benchmark_return_pct,edge_pct,test_max_drawdown_pct,test_sharpe,test_trades,test_score
ensemble-15-45-c70,-9.6775,7.9654,41.7035,-33.7381,-9.3488,0.3656,86,0.8998
relative-strength-189-150-b60,9.0814,9.1710,41.7035,-32.5326,-11.4014,0.5296,114,0.5392
relative-strength-126-100-b50,22.0972,7.0762,41.7035,-34.6273,-8.4789,0.4193,128,-0.1565
ensemble-5-15-c65,10.6131,10.5666,41.7035,-31.1369,-13.0287,0.4712,180,-0.5596
mean-reversion-90-t4,-4.4534,6.6047,41.7035,-35.0988,-11.1389,0.2817,76,-1.5922
ensemble-20-50-c60,-18.8119,7.2405,41.7035,-34.4630,-11.1690,0.3555,122,-1.7483
ensemble-20-50-c65,-12.1349,5.8838,41.7035,-35.8198,-10.8615,0.3105,96,-2.4751
mean-reversion-90-t8,-20.2849,4.7451,41.7035,-36.9584,-11.0755,0.2272,66,-3.3195
ma-30-90,-14.9800,1.7893,41.7035,-39.9142,-7.6080,0.1270,32,-3.5420
mean-reversion-90-t6,-5.7374,4.3956,41.7035,-37.3079,-12.5586,0.2059,60,-4.5556
mean-reversion-20-t8,-19.3565,5.7465,41.7035,-35.9570,-14.8382,0.2950,66,-4.6282
momentum-15-t4,5.9437,5.5196,41.7035,-36.1839,-12.6325,0.2698,128,-4.7118
ensemble-5-15-c60,5.3921,5.7130,41.7035,-35.9905,-10.5780,0.2967,210,-4.7692
ensemble-15-45-c60,-11.9859,4.1230,41.7035,-37.5806,-10.7616,0.2100,118,-4.8120
momentum-10-t4,-14.6330,6.8771,41.7035,-34.8264,-16.0554,0.3002,128,-5.5185
momentum-15-t8,-16.1402,3.0165,41.7035,-38.6871,-12.2695,0.1759,60,-5.8068
relative-strength-126-150-b50,7.3176,0.5836,41.7035,-41.1199,-7.5721,0.0648,98,-6.1686
mean-reversion-30-t4,-21.2811,3.1394,41.7035,-38.5641,-13.1716,0.1679,128,-7.6464
mean-reversion-15-t6,-14.6784,0.0973,41.7035,-41.6063,-10.7831,0.0491,82,-8.4535
mean-reversion-60-t8,-15.7810,0.8491,41.7035,-40.8544,-12.7730,0.0800,68,-8.6534
momentum-10-t6,-10.9742,1.5571,41.7035,-40.1465,-14.1571,0.1102,100,-9.4246
momentum-120-t4,-14.1328,-3.0748,41.7035,-44.7784,-9.5065,-0.1178,44,-10.3697
momentum-120-t3,-14.2538,-3.4005,41.7035,-45.1040,-9.5065,-0.1206,44,-10.7008
mean-reversion-40-t6,5.7545,-0.3471,41.7035,-42.0506,-13.8264,0.0328,76,-10.7886
mean-reversion-30-t6,-13.2338,-0.9242,41.7035,-42.6277,-13.5180,0.0132,83,-11.3444
ma-5-20,40.2272,0.2148,41.7035,-41.4888,-13.8553,0.0516,136,-11.4079
