strategy,train_return_pct,test_return_pct,benchmark_return_pct,edge_pct,test_max_drawdown_pct,test_sharpe,test_trades,test_score
ensemble-30-90-c65,-20.5646,73.1076,41.7035,31.4041,-17.5395,1.0842,42,63.0353
ensemble-30-90-c60,-19.6524,64.1626,41.7035,22.4590,-17.5395,0.9870,50,53.7358
ensemble-30-90-c70,-19.6705,61.7600,41.7035,20.0565,-17.5533,0.9562,42,51.4229
mean-reversion-15-t8,-16.3131,53.9274,41.7035,12.2239,-13.9255,0.9986,67,45.5331
relative-strength-189-100-b60,13.5658,52.9490,41.7035,11.2455,-12.8946,1.1640,112,44.6554
momentum-90-t3,-22.9004,54.3131,41.7035,12.6096,-17.5342,0.8561,38,43.8682
relative-strength-63-150-b60,26.0266,49.3276,41.7035,7.6240,-12.1078,1.1777,119,41.4330
momentum-90-t8,-22.9004,50.3014,41.7035,8.5979,-19.6638,0.8143,30,38.5486
momentum-60-t3,-18.8378,47.1583,41.7035,5.4548,-17.9295,0.8250,60,35.9541
momentum-60-t6,-21.1375,46.3142,41.7035,4.6107,-18.3815,0.8774,42,35.2810
relative-strength-126-100-b60,60.6077,39.6606,41.7035,-2.0429,-10.6666,0.9837,124,32.2148
momentum-30-t6,-3.0230,40.7367,41.7035,-0.9668,-16.3533,0.8350,58,30.6171
relative-strength-63-100-b60,1.9224,33.8951,41.7035,-7.8085,-10.7188,0.8728,107,26.5333
relative-strength-63-100-b50,1.1148,35.1012,41.7035,-6.6023,-12.7783,0.8073,101,26.3900
ensemble-20-50-c70,-16.9445,38.2350,41.7035,-3.4685,-19.2956,0.7597,72,25.7722
momentum-60-t8,-18.1241,34.2998,41.7035,-7.4038,-15.8424,0.6762,40,24.5547
relative-strength-63-150-b50,25.1364,32.5263,41.7035,-9.1772,-15.5152,0.7988,94,22.1590
ensemble-5-15-c70,-6.0187,34.9217,41.7035,-6.7818,-19.7755,0.7031,112,21.2338
mean-reversion-15-t4,-20.8331,29.7893,41.7035,-11.9142,-15.4741,0.6752,130,18.4816
ensemble-20-50-c60,-16.1158,28.7962,41.7035,-12.9074,-19.3478,0.6217,110,15.2636
momentum-40-t8,-6.5168,25.3292,41.7035,-16.3743,-15.7263,0.5384,52,15.1438
ensemble-20-50-c65,-16.9445,27.1922,41.7035,-14.5114,-18.5876,0.6050,84,14.6402
momentum-120-t6,-14.3702,26.4223,41.7035,-15.2812,-20.5396,0.5638,34,13.5192
momentum-60-t4,-20.3788,25.4672,41.7035,-16.2363,-20.5970,0.5675,54,12.1341
relative-strength-126-100-b50,56.9264,22.4506,41.7035,-19.2529,-15.5946,0.5805,124,10.9952
relative-strength-189-150-b50,16.6624,21.2796,41.7035,-20.4239,-15.1288,0.5057,84,10.7774
momentum-40-t3,-6.3816,22.8739,41.7035,-18.8296,-18.7667,0.5036,66,10.3627
relative-strength-126-150-b60,7.3003,17.1808,41.7035,-24.5227,-13.9771,0.5175,124,6.6507
momentum-30-t3,-8.6935,18.4494,41.7035,-23.2541,-18.3719,0.4319,86,5.6515
mean-reversion-30-t8,-9.1572,18.5151,41.7035,-23.1884,-23.8665,0.5297,50,3.0613
momentum-90-t4,-22.9004,12.1587,41.7035,-29.5448,-17.1388,0.3279,36,0.9544
mean-reversion-40-t10,0.2634,14.5619,41.7035,-27.1417,-22.1715,0.4442,42,0.1988
ensemble-10-30-c60,-7.7100,12.7278,41.7035,-28.9757,-17.2004,0.3535,140,-0.5455
ensemble-5-15-c60,0.8859,11.1739,41.7035,-30.5296,-21.9821,0.3369,112,-4.6806
mean-reversion-90-t4,-21.9361,10.5511,41.7035,-31.1524,-23.0316,0.2849,78,-5.4095
momentum-90-t6,-22.9004,5.6126,41.7035,-36.0910,-22.4971,0.2123,32,-9.2259
relative-strength-126-150-b50,21.4906,1.7555,41.7035,-39.9481,-15.7672,0.1167,98,-10.2199
momentum-10-t8,-18.6140,-3.1046,41.7035,-44.8082,-15.1725,-0.1378,18,-13.6024
momentum-30-t8,-8.0508,-3.3156,41.7035,-45.0191,-15.2713,-0.1744,10,-13.7908
relative-strength-189-100-b50,11.3470,1.4250,41.7035,-40.2785,-22.0487,0.1023,74,-14.1820
ensemble-15-45-c65,-5.3282,-4.4076,41.7035,-46.1111,-16.0929,-0.1736,20,-15.6152
ensemble-15-45-c70,-7.4025,-4.6053,41.7035,-46.3088,-16.6403,-0.1879,22,-16.2372
momentum-120-t4,-15.5699,-3.2368,41.7035,-44.9404,-20.6144,0.0032,40,-17.4298
momentum-20-t6,-9.0112,-5.2473,41.7035,-46.9508,-18.2971,-0.1743,20,-17.8889
momentum-15-t8,-9.8196,-3.8642,41.7035,-45.5677,-20.7259,-0.1147,17,-17.9055
ensemble-15-45-c60,-6.3071,-5.9631,41.7035,-47.6666,-17.2636,-0.2389,20,-18.0622
relative-strength-189-150-b60,17.6440,-4.1633,41.7035,-45.8668,-19.7909,-0.0882,60,-18.4037
momentum-40-t4,-1.1020,-2.3933,41.7035,-44.0969,-23.1882,0.0183,54,-18.5091
momentum-20-t8,-7.6182,-5.8385,41.7035,-47.5420,-18.5306,-0.2029,20,-18.6892
momentum-15-t6,-28.5762,-6.3019,41.7035,-48.0054,-18.8250,-0.2531,22,-19.4843
momentum-15-t3,-8.5375,-6.3913,41.7035,-48.0948,-18.9025,-0.2826,28,-19.8031
ma-30-90,-32.0105,-8.2985,41.7035,-50.0020,-17.7456,-0.3313,20,-20.8957
ensemble-5-15-c65,-14.5879,-7.6995,41.7035,-49.4030,-18.5006,-0.3384,46,-21.3217
momentum-120-t3,-15.5699,-6.5586,41.7035,-48.2621,-22.5266,-0.0608,42,-22.1626
momentum-40-t6,-12.8125,-10.9265,41.7035,-52.6300,-15.3279,-0.5040,16,-22.2176
ensemble-3-10-c60,-9.4780,-4.5107,41.7035,-46.2143,-22.7427,-0.0608,183,-23.0752
ensemble-8-21-c70,-7.5560,-11.1339,41.7035,-52.8374,-15.4025,-0.6660,30,-23.0776
ensemble-8-21-c60,-14.1881,-10.0172,41.7035,-51.7207,-17.3770,-0.4914,44,-23.1750
